policy,seed,mode,previous_success,success,arm_match,lifted,first_lifted_arm,wrong_arm_lifted_ever,first_wrong_arm_lift_action,lift_m,dist_cmd_tcp,dist_other_tcp,video
lingbot_va,500024,left,1,1,True,True,left,False,,0.05004245042800903,0.13399167969119813,0.41945153892111914,lingbot_va/arm_select/arm_select_ep500024_1.mp4
lingbot_va,500025,right,1,1,True,True,right,False,,0.05006033182144165,0.1323118392389292,0.4004863418480776,lingbot_va/arm_select/arm_select_ep500025_1.mp4
lingbot_va,500026,left,1,1,True,True,left,False,,0.050009727478027344,0.1323146093349885,0.3903225932161442,lingbot_va/arm_select/arm_select_ep500026_1.mp4
lingbot_va,500027,right,1,1,True,True,right,False,,0.050041139125823975,0.13452022193637284,0.4309119296341397,lingbot_va/arm_select/arm_select_ep500027_1.mp4
lingbot_va,500028,left,1,1,True,True,left,False,,0.050028443336486816,0.1317055345652811,0.42181373552080825,lingbot_va/arm_select/arm_select_ep500028_1.mp4
lingbot_va,500029,right,1,1,True,True,right,False,,0.050080060958862305,0.1332384877177358,0.3953320607006802,lingbot_va/arm_select/arm_select_ep500029_1.mp4
lingbot_va,500030,left,1,1,True,True,left,False,,0.05002683401107788,0.1341769915513103,0.40847275553025897,lingbot_va/arm_select/arm_select_ep500030_1.mp4
lingbot_va,500031,right,1,1,True,True,right,False,,0.050024449825286865,0.13190063947983632,0.40565036129727516,lingbot_va/arm_select/arm_select_ep500031_1.mp4
lingbot_va,500032,left,1,1,True,True,left,False,,0.05005115270614624,0.1308116395853278,0.40564148261421284,lingbot_va/arm_select/arm_select_ep500032_1.mp4
lingbot_va,500033,right,1,1,True,True,right,False,,0.050031065940856934,0.1328732537942325,0.4181133725265939,lingbot_va/arm_select/arm_select_ep500033_1.mp4
lingbot_va,500034,left,1,1,True,True,left,False,,0.05012863874435425,0.13177900017284128,0.44240691677037947,lingbot_va/arm_select/arm_select_ep500034_1.mp4
lingbot_va,500035,right,1,0,False,False,left,True,82,2.384185791015625e-07,0.4495312859719864,0.19404420969157815,lingbot_va/arm_select/arm_select_ep500035_0.mp4
lingbot_va,500036,left,1,1,True,True,left,False,,0.05007326602935791,0.13701156971410844,0.4050398330771373,lingbot_va/arm_select/arm_select_ep500036_1.mp4
lingbot_va,500037,right,1,1,True,True,right,False,,0.05010867118835449,0.1355972589485391,0.4037775418932264,lingbot_va/arm_select/arm_select_ep500037_1.mp4
lingbot_va,500038,left,1,1,True,True,left,False,,0.0500713586807251,0.13352272007897892,0.4059536050250036,lingbot_va/arm_select/arm_select_ep500038_1.mp4
lingbot_va,500039,right,1,1,True,True,right,False,,0.05013924837112427,0.1348855909654118,0.41579708708098667,lingbot_va/arm_select/arm_select_ep500039_1.mp4
lingbot_vla,500000,left,0,0,False,False,,False,,5.960464477539063e-08,0.24855337837598432,0.4464100313636384,lingbot_vla/arm_select/arm_select_ep500000_0.mp4
lingbot_vla,500001,right,0,0,False,False,,False,,-5.960464477539063e-08,0.4516333881545358,0.19543427972453334,lingbot_vla/arm_select/arm_select_ep500001_0.mp4
lingbot_vla,500002,left,0,0,False,False,right,True,82,-1.1920928955078125e-07,0.3680712867825792,0.22507780341492642,lingbot_vla/arm_select/arm_select_ep500002_0.mp4
lingbot_vla,500003,right,1,1,True,True,right,False,,0.05008721351623535,0.13058996651139404,0.43666482128596845,lingbot_vla/arm_select/arm_select_ep500003_1.mp4
lingbot_vla,500004,left,1,1,True,True,left,False,,0.05023425817489624,0.13072919422852577,0.45179007961675915,lingbot_vla/arm_select/arm_select_ep500004_1.mp4
lingbot_vla,500005,right,0,0,False,True,left,True,81,0.07428759336471558,0.4525208296502987,0.1347515341735414,lingbot_vla/arm_select/arm_select_ep500005_0.mp4
lingbot_vla,500006,left,1,1,True,True,left,False,,0.05000042915344238,0.13068383955829402,0.44002688680998253,lingbot_vla/arm_select/arm_select_ep500006_1.mp4
lingbot_vla,500007,right,0,0,False,False,left,True,80,-5.960464477539063e-08,0.40986801247108506,0.22911279362514994,lingbot_vla/arm_select/arm_select_ep500007_0.mp4
lingbot_vla,500008,left,0,0,False,False,right,True,81,1.1920928955078125e-07,0.41782251972080464,0.17636762005245196,lingbot_vla/arm_select/arm_select_ep500008_0.mp4
lingbot_vla,500009,right,1,1,True,True,right,False,,0.05020171403884888,0.13065438379523603,0.42146069290704474,lingbot_vla/arm_select/arm_select_ep500009_1.mp4
lingbot_vla,500010,left,1,1,True,True,left,False,,0.05003178119659424,0.13069035194681675,0.44731890453932477,lingbot_vla/arm_select/arm_select_ep500010_1.mp4
lingbot_vla,500011,right,0,0,False,True,left,True,81,0.07542657852172852,0.4587633579262834,0.13179030161134034,lingbot_vla/arm_select/arm_select_ep500011_0.mp4
lingbot_vla,500012,left,0,0,False,False,right,True,83,5.960464477539063e-08,0.401266967849581,0.17326286385860318,lingbot_vla/arm_select/arm_select_ep500012_0.mp4
lingbot_vla,500013,right,1,1,True,True,right,False,,0.050071775913238525,0.13104816504780722,0.4144594659731826,lingbot_vla/arm_select/arm_select_ep500013_1.mp4
lingbot_vla,500014,left,0,0,False,False,right,True,81,1.7881393432617188e-07,0.39688568467413443,0.20949415218348313,lingbot_vla/arm_select/arm_select_ep500014_0.mp4
lingbot_vla,500015,right,1,1,True,True,right,False,,0.05005455017089844,0.1306832062950317,0.4344455744008995,lingbot_vla/arm_select/arm_select_ep500015_1.mp4
lingbot_vla,500016,left,1,1,True,True,left,False,,0.05006146430969238,0.1306602113950284,0.4309030980808802,lingbot_vla/arm_select/arm_select_ep500016_1.mp4
lingbot_vla,500017,right,0,0,False,True,left,True,80,0.07736998796463013,0.43178412879276934,0.1308281238638574,lingbot_vla/arm_select/arm_select_ep500017_0.mp4
lingbot_vla,500018,left,0,0,False,False,,False,,0.0166587233543396,0.4431662213941584,0.13510568141241064,lingbot_vla/arm_select/arm_select_ep500018_0.mp4
lingbot_vla,500019,right,1,1,True,True,right,False,,0.050254762172698975,0.13071640758393266,0.5644790744349252,lingbot_vla/arm_select/arm_select_ep500019_1.mp4
lingbot_vla,500020,left,0,0,False,False,right,True,82,-1.7881393432617188e-07,0.38244488823201545,0.20016666254938978,lingbot_vla/arm_select/arm_select_ep500020_0.mp4
lingbot_vla,500021,right,1,1,True,True,right,False,,0.05003559589385986,0.1306621875718702,0.4210432297467429,lingbot_vla/arm_select/arm_select_ep500021_1.mp4
lingbot_vla,500022,left,1,1,True,True,left,False,,0.05003291368484497,0.13049951003667298,0.4479943276713122,lingbot_vla/arm_select/arm_select_ep500022_1.mp4
lingbot_vla,500023,right,0,0,False,False,left,True,80,0.0,0.3843804552674415,0.23802014027796345,lingbot_vla/arm_select/arm_select_ep500023_0.mp4
lingbot_vla,500024,left,0,0,True,False,,False,,5.960464477539063e-08,0.18742239637274583,0.43286759241628886,lingbot_vla/arm_select/arm_select_ep500024_0.mp4
lingbot_vla,500025,right,0,0,False,True,left,True,80,0.07816189527511597,0.43624023798589406,0.13096727730241756,lingbot_vla/arm_select/arm_select_ep500025_0.mp4
lingbot_vla,500026,left,0,0,False,False,right,True,81,0.0002149343490600586,0.37782066503094225,0.18002959694919357,lingbot_vla/arm_select/arm_select_ep500026_0.mp4
lingbot_vla,500027,right,1,1,True,True,right,False,,0.050147950649261475,0.13042954257120146,0.4352766884640144,lingbot_vla/arm_select/arm_select_ep500027_1.mp4
lingbot_vla,500028,left,1,1,True,True,left,False,,0.050105512142181396,0.1306469713220067,0.4410284388822059,lingbot_vla/arm_select/arm_select_ep500028_1.mp4
lingbot_vla,500029,right,0,0,False,True,left,True,81,0.07943832874298096,0.45485387336217287,0.1348569545031578,lingbot_vla/arm_select/arm_select_ep500029_0.mp4
lingbot_vla,500030,left,0,0,True,False,,False,,2.980232238769531e-07,0.1458564453610089,0.42007639423408616,lingbot_vla/arm_select/arm_select_ep500030_0.mp4
lingbot_vla,500031,right,1,1,True,True,right,False,,0.050077974796295166,0.13096047840962333,0.41799268089202796,lingbot_vla/arm_select/arm_select_ep500031_1.mp4
lingbot_vla,500032,left,0,0,False,False,right,True,82,0.00011777877807617188,0.34791586557631776,0.18074222963894715,lingbot_vla/arm_select/arm_select_ep500032_0.mp4
