policy,seed,mode,previous_success,success,first_lifted,distractor_lifted_ever,first_distractor_lift_action,target_lift_m,distractor_lift_m,distractor_peak_lift_m,video
dm05,100147,decal:dog,1,0,distractor,True,79,0.05999612808227539,5.960464477539063e-08,0.08862519264221191,dm05/attribute_select/attribute_select_ep100147_0.mp4
dm05,100148,shape:block,1,1,target,False,,0.05009758472442627,0.0,0.0,dm05/attribute_select/attribute_select_ep100148_1.mp4
dm05,100149,shape:bar,1,1,target,False,,0.05003523826599121,0.0,0.0,dm05/attribute_select/attribute_select_ep100149_1.mp4
dm05,100150,size:big,0,0,distractor,True,78,5.364418029785156e-07,-5.960464477539063e-08,0.08957874774932861,dm05/attribute_select/attribute_select_ep100150_0.mp4
dm05,100151,size:small,1,1,target,False,,0.0500788688659668,0.0,0.0,dm05/attribute_select/attribute_select_ep100151_1.mp4
dm05,100152,color:red,1,1,target,False,,0.050029218196868896,0.0,0.0,dm05/attribute_select/attribute_select_ep100152_1.mp4
dm05,100153,color:blue,1,0,distractor,True,79,-1.7881393432617188e-07,0.0,0.09190070629119873,dm05/attribute_select/attribute_select_ep100153_0.mp4
dm05,100154,decal:cat,0,0,distractor,True,78,0.0,0.09098345041275024,0.09098345041275024,dm05/attribute_select/attribute_select_ep100154_0.mp4
dm05,100155,decal:dog,1,1,target,False,,0.05001872777938843,0.0,0.0,dm05/attribute_select/attribute_select_ep100155_1.mp4
dm05,100156,shape:block,0,0,distractor,True,77,0.0,0.1498989462852478,0.1810307502746582,dm05/attribute_select/attribute_select_ep100156_0.mp4
dm05,100157,shape:bar,1,1,target,False,,0.05001622438430786,0.0,0.0,dm05/attribute_select/attribute_select_ep100157_1.mp4
dm05,100158,size:big,0,0,distractor,True,79,6.556510925292969e-07,-1.1920928955078125e-07,0.09078192710876465,dm05/attribute_select/attribute_select_ep100158_0.mp4
dm05,100159,size:small,1,1,target,False,,0.05009573698043823,0.0,0.0,dm05/attribute_select/attribute_select_ep100159_1.mp4
dm05,100160,color:red,1,1,target,False,,0.05000513792037964,0.0,0.0,dm05/attribute_select/attribute_select_ep100160_1.mp4
dm05,100161,color:blue,1,0,distractor,True,79,1.1920928955078125e-07,1.1920928955078125e-07,0.09026062488555908,dm05/attribute_select/attribute_select_ep100161_0.mp4
dm05,100162,decal:cat,1,1,target,False,,0.050057947635650635,0.0,0.0,dm05/attribute_select/attribute_select_ep100162_1.mp4
dm05,100163,decal:dog,0,0,distractor,True,117,-1.7881393432617188e-07,1.7881393432617188e-07,0.10355770587921143,dm05/attribute_select/attribute_select_ep100163_0.mp4
dm05,100164,shape:block,0,0,distractor,True,79,0.0,0.09378916025161743,0.20156216621398926,dm05/attribute_select/attribute_select_ep100164_0.mp4
dm05,100165,shape:bar,1,1,target,False,,0.050124168395996094,0.0,0.0,dm05/attribute_select/attribute_select_ep100165_1.mp4
dm05,100166,size:big,0,0,distractor,True,78,0.0,2.980232238769531e-07,0.08934128284454346,dm05/attribute_select/attribute_select_ep100166_0.mp4
dm05,100167,size:small,1,1,target,False,,0.050029873847961426,0.0,0.0,dm05/attribute_select/attribute_select_ep100167_1.mp4
dm05,100168,color:red,1,1,target,False,,0.050025105476379395,0.0,0.0,dm05/attribute_select/attribute_select_ep100168_1.mp4
dm05,100169,color:blue,0,0,distractor,True,79,0.0,-1.1920928955078125e-07,0.09259730577468872,dm05/attribute_select/attribute_select_ep100169_0.mp4
dm05,100170,decal:cat,0,0,distractor,True,78,0.0,5.960464477539063e-08,0.09291452169418335,dm05/attribute_select/attribute_select_ep100170_0.mp4
dm05,100171,decal:dog,1,1,target,False,,0.050052762031555176,0.0,0.0,dm05/attribute_select/attribute_select_ep100171_1.mp4
dm05,100172,shape:block,0,0,distractor,True,78,0.0,0.1881207823753357,0.2031923532485962,dm05/attribute_select/attribute_select_ep100172_0.mp4
dm05,100173,shape:bar,1,1,target,False,,0.050038158893585205,0.0,0.0,dm05/attribute_select/attribute_select_ep100173_1.mp4
dm05,100174,size:big,1,0,distractor,True,79,0.02240443229675293,1.7881393432617188e-07,0.08619129657745361,dm05/attribute_select/attribute_select_ep100174_0.mp4
dm05,100175,size:small,1,1,target,False,,0.050083935260772705,0.0,0.0,dm05/attribute_select/attribute_select_ep100175_1.mp4
hy_vla,100000,color:red,1,1,target,False,,0.05011451244354248,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100000_1.mp4
hy_vla,100001,color:blue,1,0,distractor,True,31,0.060001373291015625,2.980232238769531e-07,0.08404427766799927,hy_vla/attribute_select/attribute_select_ep100001_0.mp4
hy_vla,100002,decal:cat,0,0,distractor,True,31,-0.00041025876998901367,-1.7881393432617188e-07,0.08391308784484863,hy_vla/attribute_select/attribute_select_ep100002_0.mp4
hy_vla,100003,decal:dog,1,1,target,False,,0.05036795139312744,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100003_1.mp4
hy_vla,100004,shape:block,1,0,distractor,True,31,0.07994979619979858,-5.960464477539063e-08,0.09669065475463867,hy_vla/attribute_select/attribute_select_ep100004_0.mp4
